Month,RegionName,lower,upper,predicted
2018-06-01,10707,614949.4928751719,637972.5106943502,626461.0017847611
2018-06-01,10522,717023.7954511777,745638.846240896,731331.3208460369
2018-06-01,10514,865982.5980150666,908902.1426832728,887442.3703491697
2018-06-01,10589,431324.89844138763,452268.72970456834,441796.814072978
2018-06-01,10709,682758.253867005,708499.6718469202,695628.9628569626
2018-06-01,10536,631664.7547698031,659914.4839176376,645789.6193437204
2018-06-01,10604,642716.1219934585,665933.6611505005,654324.8915719795
2018-06-01,10510,723456.0162655385,753536.4857000706,738496.2509828046
2018-06-01,10553,309930.58369054605,340182.11576819356,325056.3497293698
2018-06-01,10706,759422.8899240711,796159.4509624647,777791.1704432679
2018-06-01,10523,400215.4477444741,426145.7813227382,413180.61453360616
2018-06-01,10533,891479.4214498189,935028.1856528497,913253.8035513343
2018-06-01,10504,938293.7257689001,1008515.1560216275,973404.4408952638
2018-06-01,10547,355978.2373285345,370787.067032904,363382.65218071925
2018-06-01,10590,472050.103322715,540259.1240861805,506154.61370444775
2018-06-01,10607,498544.26320681686,519408.5276396483,508976.3954232326
2018-06-01,10595,565647.4329172039,586903.2712439195,576275.3520805617
2018-06-01,10506,838343.2207709063,894090.2614723224,866216.7411216144
2018-06-01,10507,512213.1554189682,550867.8827126828,531540.5190658255
2018-06-01,10502,652163.2552576087,682225.0665758842,667194.1609167465
2018-06-01,10576,784895.2518807085,831592.5501122671,808243.9009964878
2018-06-01,10532,481273.0085890356,512632.4023575997,496952.70547331765
2018-06-01,10560,489102.3722034276,530679.2050842966,509890.7886438621
2018-06-01,10594,608769.0609996148,631126.2935480309,619947.6772738228
2018-06-01,10588,384242.3980300837,407173.665535878,395708.03178298083
2018-06-01,10537,232992.66932058017,248034.70998488858,240513.68965273438
2018-06-01,10577,1008603.2398437911,1110700.4594130057,1059651.8496283984
2018-06-01,10526,421191.0311605402,477990.6504847099,449590.84082262503
2018-06-01,10546,590608.5670993463,628554.9547404777,609581.760919912
2018-06-01,10518,531309.563235988,597983.0392425709,564646.3012392794
2018-06-01,10501,579491.2136528734,615918.4898884029,597704.8517706381
2018-07-01,10701,450054.6761329234,476690.91609427525,463372.7961135993
2018-07-01,10583,1032286.071155565,1089194.4496340377,1060740.2603948014
2018-07-01,10801,511175.30385333416,536783.1953504176,523979.2496018759
2018-07-01,10705,467997.6767375467,500542.78871525906,484270.2327264029
2018-07-01,10550,277433.32061702514,328902.7986814518,303168.0596492385
2018-07-01,10573,614187.6685256471,644585.497531686,629386.5830286666
2018-07-01,10704,448948.72882050613,475150.848769563,462049.7887950346
2018-07-01,10562,410178.8800090876,431566.6754196002,420872.7777143439
2018-07-01,10710,494759.59486072423,519661.1401423732,507210.3675015487
2018-07-01,10598,438272.37246292736,460810.6604331946,449541.516448061
2018-07-01,10708,922767.3799383799,1002156.64517485,962462.0125566149
2018-07-01,10566,280661.6391832643,308213.6039932437,294437.621588254
2018-07-01,10591,601268.9060218319,636541.1676197647,618905.0368207983
2018-07-01,10552,515873.6327341061,563893.6679800567,539883.6503570814
2018-07-01,10543,754838.0222912673,805683.8119191828,780260.917105225
2018-07-01,10605,748426.7911354763,788045.9591032952,768236.3751193858
2018-07-01,10703,415053.1764544964,440371.411874121,427712.2941643087
2018-07-01,10805,582507.9705915771,648943.8465814166,615725.9085864968
2018-07-01,10603,482927.0308307929,523219.0825325235,503073.0566816582
2018-07-01,10538,1198567.4981392974,1275555.5347478238,1237061.5164435606
2018-07-01,10567,379565.1508097849,406719.30252623046,393142.2266680077
2018-07-01,10580,1651797.8120175095,1770191.8994370603,1710994.855727285
2018-07-01,10549,705433.0181588073,761791.928567435,733612.4733631212
2018-07-01,10530,598098.5387483252,630911.8471674958,614505.1929579105
2018-07-01,10606,603882.0718047253,630969.0650031785,617425.5684039519
